term,index,definition
dependent child,title-26_subtitle-F_chapter-76_subchapter-C_part-I_section-7448_subsection-a,"means an unmarried child, including a dependent stepchild or an adopted child, who is under the age of 18 years or who because of physical or mental disability is incapable of self-support."
newly listed chemical,title-26_subtitle-D_chapter-38_subchapter-D_section-4682_subsection-d,means any substance which appears in the table contained in subsection (a)(2) below Halon-2402.
energy efficient building envelope component,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-A_section-25C_subsection-c,"means a building envelope component which meets— (A) in the case of an exterior window or skylight, Energy Star most efficient certification requirements, (B) in the case of an exterior door, applicable Energy Star requirements, and (C) in the case of any other component, the prescriptive criteria for such component established by the most recent International Energy Conservation Code standard in effect as of the beginning of the calendar year which is 2 years prior to the calendar year in which such component is placed in service."
underlying security,title-26_subtitle-A_chapter-1_subchapter-N_part-II_subpart-A_section-871_subsection-m,"means, with respect to any notional principal contract, the security with respect to which the dividend referred to in paragraph (2)(B) is paid."
defined contribution plan,title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-B_section-414_subsection-i,"means a plan which provides for an individual account for each participant and for benefits based solely on the amount contributed to the participant's account, and any income, expenses, gains and losses, and any forfeitures of accounts of other participants which may be allocated to such participant's account."
defined contribution plan,title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-B_section-415_subsection-k,"means a defined contribution plan (within the meaning of section 414(i)) or a defined benefit plan (within the meaning of section 414(j)), whichever applies, which is— (A) a plan described in section 401(a) which includes a trust which is exempt from tax under section 501(a), (B) an annuity plan described in section 403(a), (C) an annuity contract described in section 403(b), or (D) a simplified employee pension."
person,title-26_subtitle-A_chapter-1_subchapter-B_part-III_section-136_subsection-c,"includes the Federal Government, a State or local government or any political subdivision thereof, or any instrumentality of any of the foregoing."
person,title-26_subtitle-A_chapter-1_subchapter-B_part-IV_subpart-A_section-142_subsection-f,meaning of section 144(a)(3)) which includes such person.
person,title-26_subtitle-D_chapter-31_subchapter-B_section-4042_subsection-d,"includes the United States, a State, a political subdivision of a State, or any agency or instrumentality of any of the foregoing."
person,title-26_subtitle-D_chapter-34_subchapter-B_section-4377_subsection-b,"includes any governmental entity, and (B) notwithstanding any other law or rule of law, governmental entities shall not be exempt from the fees imposed by this subchapter except as provided in paragraph (2)."
person,title-26_subtitle-E_chapter-51_subchapter-J_part-IV_section-5690,"includes an officer or employee of a corporation or a member or employee of a partnership, who as such officer, employee, or member is under a duty to perform the act in respect of which the violation occurs."
person,title-26_subtitle-F_chapter-61_subchapter-A_part-III_subpart-B_section-6041A_subsection-d,includes any governmental unit (and any agency or instrumentality thereof).
person,title-26_subtitle-F_chapter-61_subchapter-A_part-III_subpart-B_section-6045_subsection-c,includes any governmental unit and any agency or instrumentality thereof.
person,title-26_subtitle-F_chapter-61_subchapter-A_part-III_subpart-B_section-6049_subsection-d,includes any governmental unit and any agency or instrumentality thereof and any international organization and any agency or instrumentality thereof.
person,title-26_subtitle-F_chapter-61_subchapter-A_part-III_subpart-B_section-6050B_subsection-c,"means the officer or employee having control of the payment of the unemployment compensation, or the person appropriately designated for purposes of this section."
person,title-26_subtitle-F_chapter-61_subchapter-A_part-III_subpart-B_section-6050D_subsection-b,"means the officer or employee having control of the program, or the person appropriately designated for purposes of this section."
person,title-26_subtitle-F_chapter-61_subchapter-A_part-III_subpart-B_section-6050E_subsection-c,means the officer or employee having control of the payment of the refunds (or the allowance of the credits or offsets) or the person appropriately designated for purposes of this section.
person,title-26_subtitle-F_chapter-61_subchapter-A_part-III_subpart-B_section-6050H_subsection-c,includes any governmental unit (and any agency or instrumentality thereof).
person,title-26_subtitle-F_chapter-61_subchapter-A_part-III_subpart-B_section-6050J_subsection-d,includes any governmental unit (and any agency or instrumentality thereof).
person,title-26_subtitle-F_chapter-61_subchapter-A_part-III_subpart-B_section-6050W_subsection-d,includes any governmental unit (and any agency or instrumentality thereof).
