index,name,type,definition
title-26_subtitle-D_chapter-41_section-4911_subsection-e,legislation,concept,"includes action with respect to Acts, bills, resolutions, or similar items by the Congress, any State legislature, any local council, or similar governing body, or by the public in a referendum, initiative, constitutional amendment, or similar procedure."
title-26_subtitle-A_chapter-1_subchapter-P_part-V_subpart-D_section-1287_subsection-b,registered form,concept,meaning as when used in section 163(f).
title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-40B_subsection-d,sustainable aviation fuel,concept,"means liquid fuel, the portion of which is not kerosene, which— (A) meets the requirements of— (i) ASTM International Standard D7566, or (ii) the Fischer Tropsch provisions of ASTM International Standard D1655, Annex A1, (B) is not derived from coprocessing an applicable material (or materials derived from an applicable material) with a feedstock which is not biomass, (C) is not derived from palm fatty acid distillates or petroleum, and (D) has been certified in accordance with subsection (e) as having a lifecycle greenhouse gas emissions reduction percentage of at least 50 percent."
title-26_subtitle-A_chapter-1_subchapter-E_part-III_section-481_subsection-d,eligible terminated s corporation,entity,"means any C corporation— (A) which— (i) was an S corporation on the day before the date of the enactment of the Tax Cuts and Jobs Act, and (ii) during the 2-year period beginning on the date of such enactment makes a revocation of its election under section 1362(a), and (B) the owners of the stock of which, determined on the date such revocation is made, are the same owners (and in identical proportions) as on the date of such enactment."
title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-E_section-420_subsection-f,qualified future transfer,concept,"mean a transfer which meets all of the requirements for a qualified transfer, except that— (i) the determination of excess pension assets shall be made under subparagraph (B), (ii) the limitation on the amount transferred shall be determined under subparagraph (C), (iii) the minimum cost requirements of subsection (c)(3) shall be modified as provided under subparagraph (D), and (iv) in the case of a collectively bargained transfer, the requirements of subparagraph (E) shall be met with respect to the transfer."
title-26_subtitle-F_chapter-79_section-7702_subsection-j,church,entity,means a church or a convention or association of churches.
title-26_subtitle-A_chapter-1_subchapter-A_part-VI_section-56A_subsection-b,applicable financial statement,concept,"means, with respect to any taxable year, an applicable financial statement (as defined in section 451(b)(3) or as specified by the Secretary in regulations or other guidance) which covers such taxable year."
title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-E_section-420_subsection-f,collectively bargained health benefits,concept,"means health benefits or coverage— (i) which are provided to retired employees who, immediately before the collectively bargained transfer, are entitled to receive such benefits by reason of retirement and who are entitled to pension benefits under the plan, and their spouses and dependents, and (ii) if specified by the provisions of the collective bargaining agreement governing the collectively bargained transfer, which will be provided at retirement to employees who are not retired employees at the time of the transfer and who are entitled to receive such benefits and who are entitled to pension benefits under the plan, and their spouses and dependents."
title-26_subtitle-A_chapter-1_subchapter-L_part-II_section-831_subsection-b,policyholder,entity,means each policyholder of the underlying direct written insurance with respect to such reinsurance or arrangement.
title-26_subtitle-A_chapter-1_subchapter-B_part-IV_subpart-A_section-143_subsection-k,limited equity cooperative housing,concept,means any dwelling unit which a person is entitled to occupy by reason of his ownership of stock in a qualified cooperative housing corporation.
title-26_subtitle-A_chapter-1_subchapter-N_part-III_subpart-A_section-904_subsection-g,income category,concept,meaning given such term by subsection (f)(5)(E)(i).
title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-41_subsection-e,qualified organization,entity,"means any of the following organizations: (A) Educational institutions Any educational organization which— (i) is an institution of higher education (within the meaning of section 3304(f)), and (ii) is described in section 170(b)(1)(A)(ii)."
title-26_subtitle-F_chapter-68_subchapter-A_part-II_section-6662A_subsection-b,reportable transaction understatement,entity,"means the sum of— (A) the product of— (i) the amount of the increase (if any) in taxable income which results from a difference between the proper tax treatment of an item to which this section applies and the taxpayer's treatment of such item (as shown on the taxpayer's return of tax), and (ii) the highest rate of tax imposed by section 1 (section 11 in the case of a taxpayer which is a corporation), and (B) the amount of the decrease (if any) in the aggregate amount of credits determined under subtitle A which results from a difference between the taxpayer's treatment of an item to which this section applies (as shown on the taxpayer's return of tax) and the proper tax treatment of such item."
